product_id,city,base_disc,opt_disc,base_price,opt_price,pred_units_delta_pct,pred_rev_delta_pct
122262,Bangalore,11.0182,11.0182,111.2272,111.2272,-0.0,-0.0
122262,Chandigarh Tricity,11.7144,11.7139,110.357,110.3576,-0.0002,0.0003
122262,Delhi-NCR,11.0432,11.0437,111.1961,111.1954,0.0006,0.0
122262,Hyderabad,11.1939,11.1939,111.0076,111.0076,-0.0,-0.0
122262,Kolkata,10.9907,10.9907,111.2616,111.2616,-0.0,-0.0
122262,Mumbai,10.7369,10.7369,111.5789,111.5789,-0.0,-0.0
122262,Others,11.436,11.4362,110.705,110.7047,0.0003,0.0
122262,Pune,10.5759,10.5759,111.7801,111.7801,-0.0,-0.0
3588,Ahmedabad,19.1864,16.1868,161.6272,167.6264,-2.7742,0.8346
21833,Ahmedabad,3.0124,0.0134,219.1919,225.9698,-2.2984,0.7228
32385,Ahmedabad,25.5555,22.5565,264.2781,274.9245,-3.0481,0.8576
32386,Ahmedabad,23.7444,22.4321,244.7805,248.9929,-0.8987,0.8068
3586,Bangalore,20.3749,17.5136,123.4189,127.8539,-0.9695,2.5891
3587,Bangalore,14.8043,11.8826,102.2348,105.7408,0.0155,3.4454
3588,Bangalore,17.7626,14.8686,164.4748,170.2627,-0.5381,2.9621
3795,Bangalore,17.233,16.3461,147.3253,148.9039,1.1783,2.2624
16661,Bangalore,21.1709,18.2026,141.8924,147.2354,-0.3413,3.4114
21835,Bangalore,2.7189,0.0184,165.3778,169.9688,0.2949,3.0791
24055,Bangalore,16.2537,13.4929,103.008,106.4037,-1.3591,1.8927
31999,Bangalore,2.9319,0.0908,154.3382,158.8557,0.2208,3.1542
32385,Bangalore,25.3089,22.3896,265.1535,275.5168,-1.562,2.2854
126995,Bangalore,26.7771,23.8217,117.1566,121.8853,-0.6268,3.3841
495092,Bangalore,49.0267,45.0,155.8765,168.19,0.0,0.0
3587,Chandigarh Tricity,15.3599,12.3599,101.5682,105.1682,-0.7872,2.7294
3588,Chandigarh Tricity,21.0814,18.0814,157.8372,163.8372,-1.4847,2.2603
16661,Chandigarh Tricity,23.2201,20.2201,138.2039,143.6039,-1.1686,2.693
21835,Chandigarh Tricity,2.7602,0.0,165.3077,170.0,-0.2898,2.5405
21836,Chandigarh Tricity,1.7472,0.0,157.2045,160.0,-0.1979,1.5769
31999,Chandigarh Tricity,2.9177,0.0,154.3608,159.0,-0.4333,2.5591
75468,Chandigarh Tricity,2.524,0.0,155.9617,160.0,-1.2177,1.3401
126995,Chandigarh Tricity,21.0643,18.0643,126.2972,131.0972,-1.0567,2.7037
495092,Chandigarh Tricity,48.9978,45.0,155.9648,168.19,0.0,0.0
3586,Chennai,20.7651,17.7735,122.8141,127.451,-1.198,2.5324
3587,Chennai,15.0056,12.0247,101.9932,105.5704,-0.2274,3.2719
3588,Chennai,19.0719,16.1388,161.8562,167.7224,-0.8283,2.766
3795,Chennai,19.1421,16.5286,143.927,148.5791,-0.9604,2.2409
16661,Chennai,19.3412,16.3901,145.1859,150.4979,-2.7476,0.8106
21835,Chennai,4.5709,1.5809,162.2295,167.3125,-0.1451,2.9836
24055,Chennai,15.2627,12.3671,104.2268,107.7885,-1.4526,1.9149
31999,Chennai,2.581,0.0432,154.8962,158.9313,0.361,2.9754
126995,Chennai,22.5897,19.6243,123.8564,128.6011,-0.5697,3.2392
495092,Chennai,48.4164,45.0,157.7427,168.19,0.0,0.0
3586,Delhi-NCR,21.3677,18.3677,121.88,126.53,-0.8327,2.9507
3587,Delhi-NCR,14.8786,11.8786,102.1457,105.7457,0.4685,4.0094
3588,Delhi-NCR,19.5231,16.5231,160.9538,166.9538,-0.4355,3.276
3795,Delhi-NCR,19.6047,16.6047,143.1036,148.4436,-1.1745,2.5132
16661,Delhi-NCR,20.5986,17.5986,142.9225,148.3225,0.1979,3.9836
21835,Delhi-NCR,2.5861,0.0,165.6037,170.0,0.9459,3.6257
21836,Delhi-NCR,1.0249,0.0,158.3602,160.0,0.8968,1.9416
31999,Delhi-NCR,2.7222,0.0,154.6717,159.0,0.839,3.6609
75468,Delhi-NCR,4.5099,1.5099,152.7841,157.5841,-1.467,1.6286
126995,Delhi-NCR,21.9821,18.9821,124.8287,129.6287,0.1274,3.9776
495092,Delhi-NCR,44.9296,41.9296,168.4053,177.5793,0.0,0.0
3586,Hyderabad,21.0779,18.2706,122.3293,126.6806,-0.841,2.6862
3587,Hyderabad,14.3043,11.3821,102.8348,106.3415,0.1141,3.528
3588,Hyderabad,16.4654,13.5851,167.0692,172.8298,-0.3804,3.0546
3795,Hyderabad,18.4286,16.2921,145.1972,149.0,-0.2997,2.3116
16661,Hyderabad,20.7111,17.7111,142.72,148.12,-0.2827,3.4902
21835,Hyderabad,2.6757,0.0491,165.4513,169.9165,0.4602,3.1715
24055,Hyderabad,16.2318,13.3644,103.0349,106.5618,-1.3986,1.9766
31999,Hyderabad,2.9872,0.0703,154.2503,158.8883,0.1958,3.2085
32385,Hyderabad,23.7766,20.8385,270.5931,281.0234,-1.4821,2.3153
126995,Hyderabad,22.8506,19.9318,123.439,128.1092,-0.2825,3.4902
495092,Hyderabad,49.0479,45.0,155.8115,168.19,0.0,0.0
3586,Kolkata,15.9678,12.9687,130.2499,134.8985,-1.1261,2.4028
3587,Kolkata,15.1409,12.1409,101.8309,105.4309,-0.4832,3.0349
3588,Kolkata,18.8523,15.9265,162.2954,168.1469,-0.8082,2.7681
3795,Kolkata,23.4271,20.4521,136.2998,141.5953,-1.6767,2.1432
16661,Kolkata,20.155,17.2527,143.721,148.9452,-0.5887,3.0249
21835,Kolkata,2.5566,0.0233,165.6538,169.9605,0.2506,2.8569
24055,Kolkata,16.7996,13.8505,102.3365,105.9639,-1.6167,1.8706
32386,Kolkata,25.3851,22.4299,239.5137,249.0,-2.6634,1.1918
126995,Kolkata,21.8969,18.9247,124.9649,129.7205,-0.7685,3.0077
495092,Kolkata,49.0,45.0,155.958,168.19,0.0,0.0
3587,Lucknow,15.7649,12.7649,101.0821,104.6821,-0.5423,2.9998
3588,Lucknow,15.0078,12.0078,169.9843,175.9843,-0.917,2.5804
16661,Lucknow,19.9685,16.9685,144.0567,149.4567,-3.4143,0.2063
21835,Lucknow,2.5936,0.0,165.5909,170.0,0.0783,2.743
21836,Lucknow,0.625,0.0,159.0,160.0,1.0878,1.7236
21837,Lucknow,2.7778,0.0,175.0,180.0,-1.7474,1.0598
31999,Lucknow,2.5845,0.0,154.8906,159.0,0.21,2.8687
32385,Lucknow,26.4137,23.4137,261.2312,271.8812,-1.9175,2.0812
75468,Lucknow,2.4518,0.0,156.0771,160.0,-1.0934,1.3925
126995,Lucknow,22.2346,19.2346,124.4247,129.2247,-0.8548,2.97
3586,Mumbai,24.6975,21.6975,116.7188,121.3688,-2.0956,1.8048
3587,Mumbai,14.7477,11.7477,102.3028,105.9028,-1.0511,2.4309
16661,Mumbai,19.4524,16.4524,144.9857,150.3857,-3.5421,0.0505
31999,Mumbai,3.0993,0.0993,154.072,158.842,-0.7788,2.293
32385,Mumbai,25.3589,22.3589,264.9759,275.6259,-2.2887,1.6386
126995,Mumbai,21.9861,18.9861,124.8222,129.6222,-1.3937,2.3982
495092,Mumbai,48.9373,45.0,156.1498,168.19,0.0,0.0
